,source_ip,time,status,size,referer,user_agent,resource
92,192.168.91.128,2022-09-30 05:41:33+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/css/responsive.css
93,192.168.91.128,2022-09-30 05:41:33+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/css/main.css
94,192.168.91.128,2022-09-30 05:41:33+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/jquery-min.js
95,192.168.91.128,2022-09-30 05:41:33+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/bootstrap.min.js
96,192.168.91.128,2022-09-30 05:41:33+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/scrolling-nav.js
97,192.168.91.128,2022-09-30 05:41:33+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/popper.min.js
98,192.168.91.128,2022-09-30 05:41:33+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/owl.carousel.js
99,192.168.91.128,2022-09-30 05:41:33+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/jquery.nav.js
100,192.168.91.128,2022-09-30 05:41:33+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/jquery.easing.min.js
101,192.168.91.128,2022-09-30 05:41:33+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/nivo-lightbox.js
102,192.168.91.128,2022-09-30 05:41:33+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/main.js
103,192.168.91.128,2022-09-30 05:41:33+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/js/jquery.magnific-popup.min.js
104,192.168.91.128,2022-09-30 05:41:33+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/logo.png
105,192.168.91.128,2022-09-30 05:41:33+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/intro.png
106,192.168.91.128,2022-09-30 05:41:33+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/business/business-img.png
107,192.168.91.128,2022-09-30 05:41:33+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/showcase/01.jpg
108,192.168.91.128,2022-09-30 05:41:33+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/showcase/03.jpg
109,192.168.91.128,2022-09-30 05:41:33+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/showcase/02.jpg
110,192.168.91.128,2022-09-30 05:41:33+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/showcase/04.jpg
111,192.168.91.128,2022-09-30 05:41:33+00:00,404,555,http://localhost/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36",/img/showcase/05.jpg
